City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sambava,-14.2667,50.1667,76.77,78,45,6.67,MG,1638240392
Puerto Ayora,-0.7393,-90.3518,69.55,92,67,7.0,EC,1638240392
Cape Town,-33.9258,18.4232,63.09,86,90,5.75,ZA,1638240369
Sept-Îles,50.2001,-66.3821,27.12,71,75,3.0,CA,1638240151
Tura,25.5198,90.2201,70.47,57,67,0.85,IN,1638240392
Hermanus,-34.4187,19.2345,60.91,85,84,8.37,ZA,1638239973
Nador,35.174,-2.9287,59.25,67,40,9.22,MA,1638240393
Yaan,7.3833,8.5667,74.32,79,69,4.16,NG,1638240379
Songjianghe,42.1859,127.479,22.32,94,100,7.67,CN,1638240393
Hornepayne,49.2138,-84.7705,21.63,93,100,2.91,CA,1638240191
Balabac,7.9868,117.0645,83.43,72,100,8.34,PH,1638240394
Bredasdorp,-34.5322,20.0403,59.29,82,20,5.48,ZA,1638240394
Pangnirtung,66.1451,-65.7125,17.35,90,99,3.6,CA,1638240394
Bengkulu,-3.8004,102.2655,77.7,80,100,11.18,ID,1638240395
Ponta do Sol,32.6667,-17.1,62.71,68,57,3.38,PT,1638240395
Leningradskiy,69.3833,178.4167,-21.84,95,38,8.61,RU,1638240396
Kaeo,-35.1,173.7833,72.36,56,19,10.07,NZ,1638240396
Nemuro,43.3236,145.575,48.63,82,15,6.93,JP,1638240396
Talnakh,69.4865,88.3972,-8.23,92,100,2.33,RU,1638240397
Kargasok,59.0556,80.8572,18.7,85,96,11.36,RU,1638240397
Horsham,51.064,-0.3272,45.45,91,40,9.22,GB,1638240397
Hasaki,35.7333,140.8333,59.29,62,94,20.6,JP,1638240398
Ahipara,-35.1667,173.1667,70.16,64,38,7.78,NZ,1638240398
Westport,41.1415,-73.3579,35.82,73,20,1.99,US,1638240399
Tiksi,71.6872,128.8694,-21.73,99,98,6.29,RU,1638240300
San Patricio,28.017,-97.5169,61.84,71,99,6.8,US,1638240399
Huarmey,-10.0681,-78.1522,66.87,84,82,7.99,PE,1638240400
Augusto Corrêa,-1.0217,-46.635,76.17,94,38,3.29,BR,1638240400
Avarua,-21.2078,-159.775,78.85,61,20,11.5,CK,1638240401
Benghazi,32.1167,20.0667,65.05,54,1,20.67,LY,1638240401
Dunmore Town,25.5,-76.65,72.79,63,0,13.2,BS,1638240402
Lakatoro,-16.0999,167.4164,84.83,69,96,5.68,VU,1638240402
Boddam,57.4667,-1.7833,43.18,76,100,25.52,GB,1638240402
Adrar,20.5022,-10.0711,59.9,31,85,11.21,MR,1638240403
Canto do Buriti,-8.11,-42.9444,74.05,80,90,1.9,BR,1638240403
Stromness,58.965,-3.296,41.25,66,100,14.61,GB,1638240404
Muroto-misakicho,33.2833,134.15,57.24,62,88,19.71,JP,1638240404
Pratāpgarh,24.0333,74.7833,64.11,54,100,8.32,IN,1638240405
Progreso,21.2833,-89.6667,73.11,75,20,12.15,MX,1638240314
Torbay,47.6666,-52.7314,46.27,97,90,18.41,CA,1638240405
Marsá Maţrūḩ,31.3525,27.2453,66.4,88,0,6.91,EG,1638240405
Sur,22.5667,59.5289,72.23,72,0,6.35,OM,1638240406
Castellaneta,40.6272,16.9369,44.24,81,40,18.41,IT,1638240406
Sakakah,29.9697,40.2064,56.77,39,20,2.04,SA,1638240407
Carnarvon,-24.8667,113.6333,78.87,57,0,23.02,AU,1638240407
Hirara,24.8,125.2833,77.27,83,75,10.36,JP,1638240407
Dubbo,-32.25,148.6167,66.33,88,90,10.36,AU,1638240408
Stuttgart,48.7823,9.177,36.57,90,75,9.22,DE,1638240218
Arrondissement du Havre,49.5833,0.3333,42.35,87,100,18.88,FR,1638240408
San Cristobal,7.7669,-72.225,69.98,94,85,1.39,VE,1638240409
Hermosillo,29.0667,-110.9667,76.68,41,0,1.99,MX,1638240168
Ribeira Grande,38.5167,-28.7,61.65,65,10,10.0,PT,1638240409
Khani,41.9563,42.9566,54.97,49,100,11.79,GE,1638240409
Robe,-37.1833,139.75,70.57,49,100,13.91,AU,1638240410
Zhigansk,66.7697,123.3711,-15.74,98,100,0.96,RU,1638240410
Abu Samrah,35.3029,37.1841,60.1,52,99,1.54,SY,1638240410
Constantine,36.365,6.6147,42.21,81,75,4.61,DZ,1638240411
Sisimiut,66.9395,-53.6735,31.55,80,100,10.33,GL,1638240411
Wisconsin Rapids,44.3836,-89.8174,33.03,88,1,5.75,US,1638240412
Port Hedland,-20.3167,118.5667,95.05,55,0,16.11,AU,1638240412
Iqaluit,63.7506,-68.5145,11.93,78,90,15.99,CA,1638240412
Belebey,54.1167,54.1167,26.67,74,84,17.4,RU,1638240413
Bristol,41.8334,-71.1662,32.25,62,1,1.99,US,1638240413
New Norfolk,-42.7826,147.0587,80.65,27,4,3.0,AU,1638240413
Saint-Philippe,-21.3585,55.7679,76.59,81,47,8.19,RE,1638240414
Bestöbe,52.4994,73.0975,18.09,78,100,11.14,KZ,1638240286
Evensk,61.95,159.2333,16.86,93,100,4.85,RU,1638240415
Channel-Port aux Basques,47.5702,-59.1367,49.46,97,100,34.78,CA,1638240324
Two Rivers,44.1539,-87.5693,37.98,89,90,7.0,US,1638240415
Miles City,46.4083,-105.8406,49.51,61,90,9.22,US,1638240415
Āsosa,10.0667,34.5333,64.71,50,48,4.65,ET,1638240416
Sobolevo,54.4299,31.8996,33.84,92,100,20.2,RU,1638240416
Jamestown,42.097,-79.2353,33.39,93,90,6.91,US,1638240416
Kalmunai,7.4167,81.8167,80.74,77,97,4.61,LK,1638240417
Lompoc,34.6391,-120.4579,64.11,87,1,3.44,US,1638240417
Lüderitz,-26.6481,15.1594,59.34,82,4,11.25,NA,1638240417
Ocara,-4.4908,-38.5967,82.99,85,53,4.27,BR,1638240417
Cidreira,-30.1811,-50.2056,70.65,69,27,12.93,BR,1638240418
Caucayá,-0.1934,-74.7819,72.45,99,100,1.41,CO,1638240418
Souillac,-20.5167,57.5167,80.37,88,20,4.61,MU,1638240418
Alta,69.9689,23.2717,16.84,72,75,3.0,NO,1638240419
San Quintín,30.4833,-115.95,61.39,82,0,6.64,MX,1638240419
Uyovu,-3.2833,31.5258,62.35,96,64,2.3,TZ,1638240419
Hambantota,6.1241,81.1185,79.14,100,20,2.3,LK,1638240420
Āsbe Teferī,9.0833,40.8667,53.13,43,6,1.45,ET,1638240420
Baruun-Urt,46.6806,113.2792,14.81,63,13,11.63,MN,1638240420
Labuhan,-6.8844,112.2051,85.1,66,66,0.67,ID,1638240421
Eirunepé,-6.6603,-69.8736,74.07,97,100,2.42,BR,1638240421
Faanui,-16.4833,-151.75,80.87,76,100,15.7,PF,1638240421
Dikson,73.5069,80.5464,-12.96,96,100,13.62,RU,1638240422
Kwinana,-32.25,115.7667,73.18,48,12,16.37,AU,1638240422
Nome,64.5011,-165.4064,-7.53,59,1,5.75,US,1638240071
Jutaí,-5.1833,-68.9,73.2,98,100,1.79,BR,1638240423
Petrolina,-9.3986,-40.5008,75.25,94,99,4.61,BR,1638240423
Fort Nelson,58.8053,-122.7002,4.59,85,90,4.61,CA,1638240187
Mount Gambier,-37.8333,140.7667,89.51,20,80,14.97,AU,1638240424
Rome,43.2128,-75.4557,26.89,88,75,0.0,US,1638240366
Antofagasta,-23.65,-70.4,61.25,77,19,3.24,CL,1638240363
Nanortalik,60.1432,-45.2371,33.6,98,100,12.77,GL,1638240424
Port Blair,11.6667,92.75,83.79,71,60,12.12,IN,1638240425
Blairmore,49.6,-114.4353,41.52,60,60,9.22,CA,1638240425
Olovyannaya,50.95,115.5667,17.08,76,83,15.14,RU,1638240425
Lata,40.1629,-8.3327,49.82,87,61,2.71,PT,1638240426
Mariental,-24.6333,17.9667,63.21,43,0,6.96,NA,1638240426
Benguela,-12.5763,13.4055,76.39,86,100,3.15,AO,1638240427
Kruisfontein,-34.0033,24.7314,61.88,84,22,6.42,ZA,1638240427
Safi,32.2994,-9.2372,57.49,82,0,10.58,MA,1638240427
Mahon,39.8885,4.2658,48.76,71,20,13.8,ES,1638240428
Lagunillas,10.1301,-71.2595,78.31,86,100,8.66,VE,1638240428
Winslow,35.0242,-110.6974,37.58,41,1,5.75,US,1638240429
Sitka,57.0531,-135.33,39.09,70,90,17.27,US,1638240202
Belyy Yar,53.6039,91.3903,4.89,85,100,2.24,RU,1638240429
Tilichiki,60.4667,166.1,20.5,96,100,6.38,RU,1638240429
Nokaneng,-19.6667,22.2667,74.01,51,99,3.65,BW,1638240430
Dhidhdhoo,6.8833,73.1,80.87,77,59,6.13,MV,1638240430
Burla,21.5,83.8667,59.74,53,72,4.92,IN,1638240431
George Town,5.4112,100.3354,82.35,80,20,3.0,MY,1638240313
Saint-Pierre,-21.3393,55.4781,76.68,70,0,6.91,RE,1638240431
Goba,7.0167,39.9833,43.88,66,12,4.47,ET,1638240431
Vradiyivka,47.862,30.5919,35.11,72,14,10.67,UA,1638240432
Gorin,51.1983,136.6669,14.32,88,97,6.35,RU,1638240432
Santo Tomas,14.1079,121.1414,87.57,56,100,2.73,PH,1638240432
Mar del Plata,-38.0023,-57.5575,57.87,90,75,11.01,AR,1638240369
Nizhniy Odes,63.6445,54.856,-5.13,99,32,5.03,RU,1638240433
Vestmannaeyjar,63.4427,-20.2734,36.57,86,100,24.29,IS,1638240433
Colares,38.7992,-9.4469,56.34,73,99,15.01,PT,1638240434
Coquimbo,-29.9533,-71.3436,58.73,88,90,4.61,CL,1638240434
Meadow Lake,34.8014,-106.5436,54.14,39,0,1.9,US,1638240323
Uíge,-7.6087,15.0613,65.26,97,100,1.9,AO,1638240434
Eyl,7.9803,49.8164,73.44,77,32,13.29,SO,1638240435
Arica,-18.475,-70.3042,64.63,77,90,8.05,CL,1638240352
Preobrazheniye,42.9019,133.9064,41.58,86,100,10.94,RU,1638240435
Chui,-33.6971,-53.4616,64.85,89,100,17.38,UY,1638240435
Osypenko,46.9136,36.8253,49.84,89,69,15.64,UA,1638240436
Nikolskoye,59.7035,30.7861,26.4,96,100,7.63,RU,1638240436
Salta,-24.7859,-65.4117,70.09,65,0,1.01,AR,1638240436
Dzaoudzi,-12.7887,45.2699,80.49,78,75,3.44,YT,1638240437
Tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,16.11,CA,1638240437
Longyearbyen,78.2186,15.6401,10.24,61,20,18.41,SJ,1638240156
Donje Dubrave,44.4827,18.6791,31.86,100,75,5.01,BA,1638240438
Cherskiy,68.75,161.3,-11.92,99,100,4.34,RU,1638240438
Severo-Kuril'sk,50.6789,156.125,31.8,64,96,27.85,RU,1638240438
Port Hardy,50.6996,-127.4199,48.38,87,90,3.44,CA,1638240254
Hamilton,39.1834,-84.5333,42.24,44,20,1.99,US,1638240198
Korla,41.7597,86.1469,23.58,67,17,5.12,CN,1638240403
La Ronge,55.1001,-105.2842,21.45,63,1,8.05,CA,1638240439
Marabu,4.4148,114.0089,82.54,83,40,10.36,MY,1638240439
Wągrowiec,52.8084,17.1996,34.32,88,68,11.18,PL,1638240439
Bayjī,34.9311,43.487,60.58,52,100,9.24,IQ,1638240440
Duiwelskloof,-23.6934,30.14,67.87,63,100,2.37,ZA,1638240440
Santa Maria,-29.6842,-53.8069,70.9,64,0,8.05,BR,1638240441
Oranjestad,12.524,-70.027,82.35,78,40,12.66,AW,1638240316
Dunedin,-45.8742,170.5036,61.12,70,99,8.23,NZ,1638240266
Ust-Nera,64.5667,143.2,-18.85,99,100,3.09,RU,1638240441
Port Lincoln,-34.7333,135.8667,81.36,38,93,8.19,AU,1638240442
Cayenne,4.9333,-52.3333,76.08,91,90,2.3,GF,1638240442
Toktogul,41.8708,72.9402,34.36,45,98,2.66,KG,1638240443
Paamiut,61.994,-49.6678,32.27,98,100,18.88,GL,1638240443
Mikumi,-7.4041,36.9831,68.31,96,94,0.29,TZ,1638240444
Yārāda,17.65,83.2667,73.72,78,20,2.3,IN,1638240444
San Fernando del Valle de Catamarca,-28.4696,-65.7852,73.49,38,0,15.08,AR,1638240444
Norman Wells,65.282,-126.8329,-25.56,68,20,5.75,CA,1638240445
Valparaíso,-33.0393,-71.6273,56.32,93,0,2.3,CL,1638240445
Barstow,34.8986,-117.0228,65.55,22,0,0.6,US,1638240446
Cabedelo,-6.9811,-34.8339,81.27,80,78,10.6,BR,1638240446
Payson,40.0444,-111.7321,52.39,58,1,3.0,US,1638240446
Macao,22.2006,113.5461,75.92,60,0,21.85,MO,1638240446
Plettenberg Bay,-34.0527,23.3716,59.29,69,34,6.46,ZA,1638240447
Pocatello,42.8713,-112.4455,49.48,50,75,1.01,US,1638240297
Naze,28.3667,129.4833,74.32,70,10,16.51,JP,1638240447
Puerto Madero,14.7208,-92.4215,79.14,69,0,4.16,MX,1638240448
Kenitra,34.261,-6.5802,56.16,88,94,2.39,MA,1638240448
Puerto Madryn,-42.7692,-65.0385,61.75,59,0,10.04,AR,1638240448
Haldensleben I,52.2891,11.4098,37.74,96,100,15.66,DE,1638240449
Segovia,41.1667,-4.0,38.43,91,90,3.31,ES,1638240449
Mareeba,-17.0,145.4333,91.33,56,33,8.57,AU,1638240450
Jega,12.2175,4.3792,69.94,15,38,7.78,NG,1638240450
Penzance,50.1186,-5.5371,51.01,83,100,16.55,GB,1638240450
Los Llanos de Aridane,28.6585,-17.9182,60.55,79,75,5.01,ES,1638240451
Bubaque,11.2833,-15.8333,82.62,62,86,6.82,GW,1638240451
Mayo,38.8876,-76.5119,40.98,71,1,1.01,US,1638240451
Safaga,26.7292,33.9365,62.55,43,41,1.97,EG,1638240452
Prieska,-29.6641,22.7474,66.76,26,23,5.93,ZA,1638240452
Olafsvik,64.8945,-23.7142,31.32,91,100,10.49,IS,1638240386
High Level,58.5169,-117.136,1.51,92,90,2.3,CA,1638240453
Sarangani,5.4033,125.4636,83.17,74,100,8.23,PH,1638240453
Bethel,41.3712,-73.414,34.05,71,1,3.44,US,1638240246
Lodja,-3.4833,23.4333,68.14,99,100,1.32,CD,1638240453
Hualmay,-11.0964,-77.6139,65.8,85,53,8.55,PE,1638240454
Seydi,39.4816,62.9137,48.11,53,0,9.22,TM,1638240454
Aklavik,68.2191,-135.0107,-22.97,97,93,3.58,CA,1638240454
The Valley,18.217,-63.0578,80.46,71,6,12.77,AI,1638240455
Māngrol,21.1167,70.1167,74.12,47,100,11.36,IN,1638240455
Karratha,-20.7377,116.8463,95.77,34,0,13.33,AU,1638240456
Pisco,-13.7,-76.2167,64.45,82,0,13.8,PE,1638240297
Kalāleh,37.3807,55.4916,49.6,66,0,0.0,IR,1638240456
Klaksvík,62.2266,-6.589,32.92,58,100,6.2,FO,1638240456
Nabire,-3.3667,135.4833,88.72,60,97,4.34,ID,1638240457
Charters Towers,-20.1,146.2667,85.39,52,100,7.54,AU,1638240457
Monroe,43.1501,-77.6831,33.31,77,90,3.44,US,1638240457
Srednekolymsk,67.45,153.6833,-19.17,98,100,6.51,RU,1638240458
Acapulco de Juárez,16.8634,-99.8901,77.81,79,0,4.92,MX,1638240458
Mahébourg,-20.4081,57.7,80.26,88,20,4.61,MU,1638240458
Saint Paul Harbor,57.79,-152.4072,33.31,86,90,18.41,US,1638240459
Wufeng,27.45,104.8333,40.89,38,10,2.13,CN,1638240459
Sangar,63.9242,127.4739,-14.82,95,100,3.62,RU,1638240459
Tual,-5.6667,132.75,84.25,68,81,3.58,ID,1638240459
Tuburan,6.6439,122.2736,84.29,69,92,3.53,PH,1638240460
Kindu,-2.95,25.95,69.12,100,100,2.15,CD,1638240460
Rizhao,35.4275,119.4553,45.5,51,5,20.76,CN,1638240460
Luanda,-8.8368,13.2343,77.23,85,99,8.86,AO,1638240424
Husavik,66.0449,-17.3389,22.91,89,100,8.5,IS,1638240461
Nhulunbuy,-12.2333,136.7667,92.01,58,40,13.8,AU,1638240461
Cazones de Herrera,20.7167,-97.3167,65.61,80,21,4.16,MX,1638240316
Stephenville,32.2207,-98.2023,61.59,54,1,4.61,US,1638240462
Tezu,27.9167,96.1667,74.21,34,45,1.48,IN,1638240462
Grand-Lahou,5.1367,-5.0242,78.55,86,17,7.18,CI,1638240462
Saint George,37.1041,-113.5841,61.54,37,1,0.0,US,1638240463
Sanbu,33.4594,119.1453,49.1,43,5,18.97,CN,1638240463
Kailua,21.4022,-157.7394,82.38,69,40,16.11,US,1638240396
Saskylakh,71.9167,114.0833,-28.34,100,89,4.56,RU,1638240464
Lifford,54.8319,-7.4836,50.29,89,92,12.06,IE,1638240464
Lagoa,39.05,-27.9833,60.3,65,38,8.48,PT,1638240464
Maués,-3.3836,-57.7186,76.03,91,100,1.34,BR,1638240464
Aldan,58.6031,125.3894,-1.19,93,100,2.46,RU,1638240465
Coalinga,36.1397,-120.3602,65.03,42,0,2.42,US,1638240465
Darnah,32.767,22.6367,62.02,59,0,16.78,LY,1638240465
Myitkyina,25.3833,97.4,70.39,46,6,2.68,MM,1638240466
Palauig,15.435,119.9045,84.09,74,86,3.69,PH,1638240466
Xichang,27.8964,102.2634,50.18,66,93,1.39,CN,1638240466
Bilibino,68.0546,166.4372,-11.88,99,83,4.36,RU,1638240467
São Francisco,-15.9486,-44.8644,72.05,87,86,3.85,BR,1638240467
Zhenlai,45.8495,123.2973,20.3,72,15,7.36,CN,1638240467
Myanaung,18.2833,95.3167,75.92,68,97,12.71,MM,1638240468
Taltal,-25.4,-70.4833,61.66,78,0,3.58,CL,1638240468
Babīna,25.25,78.4667,65.5,52,100,1.95,IN,1638240468
Osoyoos,49.0331,-119.4524,52.0,81,73,3.44,CA,1638240469
Dingle,10.9995,122.6711,86.13,70,100,8.25,PH,1638240469
Opuwo,-18.0607,13.84,67.35,30,49,4.03,NA,1638240469
Kurchum,48.5722,83.6542,8.49,83,7,2.68,KZ,1638240469
Antalaha,-14.9003,50.2788,75.49,80,51,4.99,MG,1638240470
Ixtapa,20.7,-105.2,70.74,78,5,2.06,MX,1638240470
Narasannapeta,18.4167,84.05,73.92,61,23,5.68,IN,1638240463
Saldanha,-33.0117,17.9442,59.05,85,60,5.06,ZA,1638240470
Makakilo City,21.3469,-158.0858,80.92,57,20,17.27,US,1638240471
Moose Factory,51.2585,-80.6094,12.18,92,90,4.61,CA,1638240471
Katsuura,35.1333,140.3,61.2,61,99,19.39,JP,1638240463
Coyhaique,-45.5752,-72.0662,48.81,71,0,2.3,CL,1638240471
Zhuhai,22.2769,113.5678,75.9,60,0,21.85,CN,1638240472
Havre-St-Pierre,50.2334,-63.5986,30.2,93,90,10.36,CA,1638240472
Lubuk Pakam,3.5604,98.8767,84.34,69,96,1.3,ID,1638240473
Usinsk,65.9939,57.5281,-15.36,100,44,1.45,RU,1638240473
Saint-François,46.4154,3.9054,33.24,86,75,3.44,FR,1638240473
St. George's,12.0564,-61.7485,78.48,78,20,8.05,GD,1638240473
Aras,42.5617,-2.356,45.72,90,90,8.05,ES,1638240474
Davila,18.4726,120.5763,87.78,80,97,24.32,PH,1638240474
Chaozhou,23.6651,116.6379,71.46,48,0,15.01,CN,1638240474
Esna,25.2934,32.554,60.82,29,8,4.63,EG,1638240475
Salgueiro,-8.0742,-39.1192,82.02,53,96,3.24,BR,1638240475
Lavrentiya,65.5833,-171.0,-12.01,91,3,8.61,RU,1638240475
Ningbo,29.8782,121.5495,52.99,99,75,15.66,CN,1638240361
Birao,10.2849,22.7882,72.1,33,46,4.85,CF,1638240476
Bolshaya Rechka,51.9503,104.7355,10.67,70,95,2.01,RU,1638240476
Tuy Hoa,13.0833,109.3,76.77,95,100,13.53,VN,1638240477
Necochea,-38.5473,-58.7368,55.04,78,0,11.81,AR,1638240477
Camocim,-2.9022,-40.8411,79.43,83,23,12.17,BR,1638240478
Fort-Shevchenko,44.5086,50.263,48.52,81,98,23.22,KZ,1638240478
Moreira Sales,-24.0622,-53.0069,62.74,63,67,4.72,BR,1638240478
Peiting,47.8,10.9333,30.63,86,100,25.32,DE,1638240478
Ola,59.5833,151.2833,2.14,91,100,6.11,RU,1638240479
Amahai,-3.3333,128.9167,85.71,67,94,5.84,ID,1638240479
Alugan,12.2188,125.4808,84.58,72,100,5.5,PH,1638240479
Don Luan,11.5333,106.9167,84.31,70,83,0.51,VN,1638240218
Domat,46.8348,9.4508,31.59,95,97,3.71,CH,1638240480
Muş Province,39.0,41.75,41.72,79,100,0.98,TR,1638240480
Ofakim,31.3141,34.6203,78.71,25,40,11.95,IL,1638240481
Ongandjera,-17.8833,15.0667,73.17,52,2,3.69,NA,1638240481
Nishihara,26.1842,127.7558,76.68,80,75,17.27,JP,1638240481
Camacha,33.0833,-16.3333,57.96,77,40,5.75,PT,1638240482
Voinka,45.8699,33.9914,48.67,87,63,7.38,UA,1638240482
Kondinskoye,59.6481,67.41,24.85,97,100,7.58,RU,1638240482
Águia Branca,-18.9831,-40.7403,72.88,95,17,1.1,BR,1638240483
Avera,33.194,-82.5271,44.47,42,27,5.84,US,1638240483
Visaginas,55.6,26.4167,25.93,94,100,16.55,LT,1638240484
Sibu,2.3,111.8167,82.71,65,20,5.01,MY,1638240378
Muros,42.7762,-9.0603,52.84,95,100,5.57,ES,1638240484
Sulangan,11.1373,123.7228,82.8,76,84,6.96,PH,1638240484
Kavaratti,10.5669,72.642,81.41,77,100,18.19,IN,1638240485
Comodoro Rivadavia,-45.8667,-67.5,66.06,22,0,10.36,AR,1638240485
Kirensk,57.7853,108.1119,-3.71,99,77,3.24,RU,1638240486
Arganil,40.2183,-8.054,49.68,86,80,2.53,PT,1638240486
Ancud,-41.8697,-73.8203,51.33,87,19,1.45,CL,1638240487
Road Town,18.4167,-64.6167,79.0,72,9,12.41,VG,1638240487
Roald,62.5833,6.1333,36.09,87,90,11.5,NO,1638240487
Port-Cartier,50.0334,-66.8654,26.82,70,99,8.81,CA,1638240439
Alpena,45.0617,-83.4327,29.1,96,90,0.0,US,1638240488
Mount Isa,-20.7333,139.5,96.57,12,41,8.05,AU,1638240488
Baracoa,20.3467,-74.4958,75.18,83,100,4.18,CU,1638240488
Esperance,-33.8667,121.9,64.24,58,97,11.52,AU,1638240489
Dayong,25.0209,118.2898,74.88,48,0,14.14,CN,1638240489
Zwedru,6.0667,-8.1281,71.6,98,62,2.01,LR,1638240490
Damara,4.9608,18.7035,76.42,82,99,3.04,CF,1638240490
Namatanai,-3.6667,152.4333,85.19,66,100,11.23,PG,1638240490
Morro Bay,35.3658,-120.8499,67.19,63,0,5.79,US,1638240393
Birin,26.8865,88.0718,57.88,49,50,2.06,NP,1638240491
Codrington,-38.2667,141.9667,79.11,34,10,13.6,AU,1638240491
Eldorado,-23.7869,-54.2836,62.08,66,48,3.85,BR,1638240492
Mitsamiouli,-11.3847,43.2844,80.24,79,13,9.08,KM,1638240492
Bukama,-9.2,25.85,67.78,97,93,2.37,CD,1638240493
Léglise,49.7999,5.5365,35.15,97,100,13.69,BE,1638240493
Neuquén,-38.9516,-68.0591,67.89,49,0,1.14,AR,1638240493
Pangkalanbuun,-2.6833,111.6167,89.8,53,22,3.83,ID,1638240494
Guerrero Negro,27.9769,-114.0611,64.98,73,0,9.53,MX,1638240374
Dekar,-21.5333,21.9333,73.38,53,97,5.35,BW,1638240494
Zhangjiakou,40.81,114.8794,22.93,46,5,17.74,CN,1638240494
Vostok,46.4856,135.8833,21.34,75,100,2.15,RU,1638240495
São Bartolomeu de Messines,37.2602,-8.2867,53.62,89,14,3.74,PT,1638240495
Sivas Province,39.7916,37.0019,48.83,71,0,12.66,TR,1638240495
Sobrance,48.7445,22.1814,33.46,93,31,0.0,SK,1638240496
